ADM2_EN,ADM2_PCODE,ParentPcode,Crop_season,Crop_group
Afder,ET0508,ET05,Southern,4
Agnewak,ET1202,ET12,Meher,1
Alle,ET0712,ET07,Southern,4
Amaro,ET0721,ET07,belg,2
Arsi,ET0408,ET04,belg,2
Asosa,ET0603,ET06,Meher,1
Awi,ET0309,ET03,Meher,1
Awsi /Zone 1,ET0201,ET02,Northern ,3
Bale,ET0411,ET04,Southern,4
Basketo,ET0716,ET07,Meher,1
Bench Sheko,ET0711,ET07,Meher,1
Borena,ET0412,ET04,Southern,4
Buno Bedele,ET0416,ET04,Meher,1
Burji,ET0722,ET07,belg,2
Central,ET0102,ET01,Meher,1
Central Gondar,ET0311,ET03,Meher,1
Daawa,ET0511,ET05,Southern,4
Dawuro,ET0717,ET07,belg,2
Derashe,ET0723,ET07,belg,2
Dire Dawa rural,ET1502,ET15,Northern ,3
Dire Dawa urban,ET1501,ET15,Northern ,3
Doolo,ET0507,ET05,Southern,4
East Bale,ET0421,ET04,Southern,4
East Gojam,ET0306,ET03,Meher,1
East Hararge,ET0410,ET04,belg,2
East Shewa,ET0407,ET04,belg,2
East Wellega,ET0402,ET04,Meher,1
Eastern,ET0103,ET01,Northern ,3
Erer,ET0504,ET05,Southern,4
Fafan,ET0502,ET05,Southern,4
Fanti /Zone 4,ET0204,ET02,Northern ,3
Finfine Special,ET0420,ET04,Meher,1
Gabi /Zone 3,ET0203,ET02,Northern ,3
Gamo,ET0710,ET07,belg,2
Gedeo,ET0705,ET07,belg,2
Gofa,ET0715,ET07,belg,2
Guji,ET0414,ET04,Southern,4
Guraghe,ET0701,ET07,belg,2
Hadiya,ET0702,ET07,belg,2
Halaba,ET0714,ET07,belg,2
Harari,ET1301,ET13,belg,2
Hari /Zone 5,ET0205,ET02,Northern ,3
Horo Gudru Wellega,ET0419,ET04,Meher,1
Ilu Aba Bora,ET0403,ET04,Meher,1
Itang Special woreda,ET1204,ET12,Meher,1
Jarar,ET0503,ET05,Southern,4
Jimma,ET0404,ET04,Meher,1
Kefa,ET0709,ET07,Meher,1
Kelem Wellega,ET0418,ET04,Meher,1
Kemashi,ET0604,ET06,Meher,1
Kembata Tibaro,ET0703,ET07,belg,2
Kilbati /Zone2,ET0202,ET02,Northern ,3
Konso,ET0713,ET07,belg,2
Konta Special,ET0719,ET07,Meher,1
Korahe,ET0505,ET05,Southern,4
Liban,ET0509,ET05,Southern,4
Majang,ET1203,ET12,Meher,1
Mao Komo Special,ET0605,ET06,Meher,1
Mekelle,ET0107,ET01,belg,2
Metekel,ET0602,ET06,Meher,1
Mirab Omo,ET0718,ET07,Meher,1
Nogob,ET0510,ET05,Southern,4
North Gondar,ET0301,ET03,Meher,1
North Shewa (AM),ET0305,ET03,belg,2
North Shewa (OR),ET0406,ET04,belg,2
North Wello,ET0303,ET03,belg,2
North Western,ET0101,ET01,Meher,1
Nuwer,ET1201,ET12,Meher,1
Oromia,ET0310,ET03,belg,2
Region 14,ET1401,ET14,Meher,1
Shabelle,ET0506,ET05,Southern,4
Sheka,ET0708,ET07,Meher,1
Sidama,ET1600,ET16,belg,2
Siltie,ET0720,ET07,belg,2
Siti,ET0501,ET05,Northern ,3
South Eastern,ET0106,ET01,belg,2
South Gondar,ET0302,ET03,Meher,1
South Omo,ET0707,ET07,belg,2
South Wello,ET0304,ET03,belg,2
South West Shewa,ET0413,ET04,Meher,1
Southern,ET0104,ET01,belg,2
Wag Hamra,ET0308,ET03,Meher,1
West Arsi,ET0417,ET04,belg,2
West Gojam,ET0307,ET03,Meher,1
West Gondar,ET0312,ET03,Meher,1
West Guji,ET0415,ET04,belg,2
West Hararge,ET0409,ET04,belg,2
West Shewa,ET0405,ET04,Meher,1
West Wellega,ET0401,ET04,Meher,1
Western,ET0105,ET01,Meher,1
Wolayita,ET0706,ET07,belg,2
Yem Special,ET0724,ET07,belg,2
