ADM1_PCODE,precipitation
KE002,36.285069621173704
KE003,40.10095457407835
KE004,40.20500773329568
KE005,37.9977131782971
KE006,43.59316542094426
KE007,40.9042173228856
KE008,43.32953047146117
KE009,40.317777941124426
KE010,33.26718883046777
KE011,42.88471374920795
KE012,38.5431758736971
KE013,44.6466513838483
KE014,39.3960820193666
KE015,44.066682961081284
KE016,40.0144370915661
KE017,44.0168477239986
KE018,28.0552605665057
KE019,34.15489529454145
KE021,35.2390134621359
KE023,24.335160477497162
KE024,25.146827300846166
KE025,31.834846459622003
KE027,27.8962760739239
KE029,30.5533897727141
KE030,27.09707619797236
KE031,31.84911602016693
KE032,34.33266649473372
KE033,33.79572092535378
KE034,39.30832112896158
KE035,36.4275572055359
KE036,37.7933686637542
KE037,31.8386573827073
KE039,32.5913931758692
KE041,33.08692371190535
KE042,39.0781395442847
KE043,29.5534503559154
KE045,37.8800063751887
KE047,36.1653047919391
